customer_id,region,device_type,tenure_months,site_visits_1m,site_visits_3m,site_visits_6m,days_since_last_visit,orders_1m,orders_3m,orders_6m,avg_order_value,cart_abandonment_rate,returns_6m,delivery_delay_flag,avg_product_rating,support_tickets_30d,offer_sent,early_warning_flag,churn_flag,lifetime_value,ltv_6m
ECOM_23,NA,Mobile,53,11,54,106,3,2,6,11,152.12348093309868,0.5640803736388321,1,0,3,1,1,0,0,1444.926811050687,304.24696186619735
ECOM_24,NA,Mobile,51,25,49,120,35,3,12,18,74.92131646494096,0.17958994121088068,1,0,3,0,1,0,0,1492.8031493018395,224.76394939482287
ECOM_25,APAC,Mobile,27,17,60,116,0,4,5,12,31.156160942784815,0.09712407789483413,1,0,3,4,0,0,0,329.7969928708749,124.62464377113926
ECOM_26,EU,Desktop,39,16,61,96,18,4,13,16,281.81452103064316,0.3886973773342305,0,1,4,0,0,0,0,4457.681924278717,1127.2580841225727
ECOM_27,APAC,Mobile,45,25,48,103,32,6,5,19,38.402474276669665,0.8324306496517867,1,0,4,0,0,0,1,861.2456377225483,138.2489073960108
ECOM_28,APAC,Mobile,58,16,52,101,4,7,5,12,46.63645494826818,0.6463865261691399,0,0,3,1,0,0,1,629.9505402706186,195.87311078272634
ECOM_29,APAC,Mobile,29,16,61,101,1,4,5,15,63.406135082011964,0.9089630839325357,2,0,3,0,1,0,0,975.4271593779586,253.62454032804786
ECOM_30,EU,Mobile,42,12,47,106,16,6,7,14,67.07529412980487,0.4444691167119278,3,0,5,3,1,0,1,895.67589233792,241.47105886729753
ECOM_31,EU,Mobile,25,25,64,115,21,3,8,17,233.20072758482087,0.5636294961801973,0,0,2,0,0,1,1,3929.3895040497923,419.76130965267754
ECOM_32,NA,Desktop,20,19,66,100,34,3,12,17,115.82086323429583,0.318966669153695,0,0,3,2,0,0,0,1972.955169761298,347.4625897028875
ECOM_33,APAC,Mobile,67,14,38,114,23,2,7,21,44.15510541559757,0.9234706223095108,2,0,5,2,0,0,0,918.9394919139328,88.31021083119514
ECOM_34,EU,Mobile,68,14,56,87,44,2,1,11,125.17637489884098,0.4786892948513365,1,1,3,2,1,0,1,1307.832720836798,150.21164987860917
ECOM_35,NA,Desktop,23,17,56,115,44,2,7,9,75.84757365471206,0.7757969746810972,1,0,2,1,1,1,1,681.6316575469904,91.01708838565447
ECOM_36,EU,Desktop,38,16,51,107,20,1,10,16,210.7259530916941,0.4481185247685927,3,0,4,0,0,0,0,3334.8807291675503,210.7259530916941
ECOM_37,EU,Mobile,48,21,49,103,21,5,8,13,49.51667507180796,0.9290146444342,0,0,4,0,0,0,1,561.1395668280323,148.55002521542386
ECOM_38,APAC,Desktop,63,17,48,98,36,0,4,13,179.07417348862535,0.7531165620775058,1,0,4,2,1,1,1,2410.191971955969,0.0
ECOM_39,NA,Desktop,9,17,49,121,3,2,8,12,68.40584503223577,0.248489886742576,4,1,4,0,0,1,0,880.0782856562854,136.81169006447155
ECOM_40,EU,Mobile,42,10,64,113,18,2,9,13,67.27110806728045,0.10855764362689135,0,0,5,2,0,0,1,921.0043309487847,80.72532968073654
ECOM_41,NA,Desktop,62,15,61,105,24,2,8,19,81.39105211320239,0.7451778551099113,1,0,5,0,0,0,0,1454.8089822541795,162.78210422640478
ECOM_42,NA,Desktop,27,22,67,121,32,2,9,11,84.8185248801256,0.17741968894243743,1,1,3,1,1,0,0,1135.1446512864297,169.6370497602512
ECOM_43,EU,Desktop,13,18,44,114,27,2,7,12,24.595079357101255,0.4955359090036836,0,0,2,0,1,0,1,241.3210498910912,29.514095228521505
ECOM_44,EU,Mobile,65,16,56,112,19,6,4,13,8.709784759304744,0.17628097514506746,0,0,5,0,1,0,0,23.990269613225465,52.25870855582846
ECOM_45,NA,Desktop,17,17,63,123,37,2,9,17,123.15865581049349,0.9214787519377396,0,0,2,0,1,1,1,2074.8019651509,147.7903869725922
ECOM_46,NA,Mobile,30,14,68,105,9,2,10,12,83.43080261194288,0.26134815604249706,0,0,5,2,0,0,1,1012.0604893184417,100.11696313433146
ECOM_47,NA,Mobile,31,20,43,124,30,2,8,20,185.50868278285876,0.8939844870323995,2,0,4,2,0,0,0,3656.2474499571836,371.0173655657175
ECOM_48,EU,Mobile,23,20,44,121,7,2,5,12,227.10380451534533,0.8495643713486662,0,0,4,1,0,0,1,2840.379187971222,272.5245654184144
ECOM_49,NA,Mobile,34,21,56,101,42,5,6,10,257.62386024702624,0.2646624476985805,0,1,2,3,1,0,1,2608.4100294023738,772.8715807410787
ECOM_50,APAC,Desktop,46,18,38,117,41,3,2,15,71.17766832889664,0.8553287226277505,1,0,5,2,0,1,0,995.7363578046849,213.53300498668995
ECOM_51,NA,Mobile,4,17,46,93,10,2,8,19,152.3752227821026,0.18204403610698527,0,0,3,3,1,0,0,2854.089888157092,304.7504455642052
ECOM_52,EU,Mobile,3,16,58,111,38,1,2,14,67.38879643248008,0.10299235480189228,0,0,3,1,0,0,1,920.4194311531734,40.433277859488044
ECOM_53,APAC,Mobile,58,18,44,105,33,1,2,11,39.673577711625676,0.39697862990895627,0,0,3,1,1,1,1,384.5519456677313,23.804146626975406
ECOM_54,EU,Mobile,30,16,55,110,42,2,5,6,53.26853393055538,0.6020844529062579,0,0,5,1,0,0,1,356.0105153889718,63.92224071666645
ECOM_55,EU,Mobile,37,14,51,101,30,1,10,9,136.82492872114307,0.39034916958216703,2,0,4,1,1,0,1,1123.9926881633025,82.09495723268584
ECOM_56,EU,Desktop,7,16,59,108,22,2,8,8,41.394864496908966,0.9606169257765631,1,1,5,1,1,1,1,350.00407247587356,49.67383739629076
ECOM_57,NA,Desktop,68,29,48,106,39,2,9,13,202.910872793404,0.98501445993049,2,0,5,2,0,0,1,2641.5123354995962,243.49304735208477
ECOM_58,APAC,Mobile,46,18,56,112,0,3,7,14,31.070720937241738,0.009099097162411307,1,0,1,2,0,0,1,388.9785864775476,55.92729768703513
ECOM_59,EU,Mobile,53,18,50,105,16,0,2,11,152.4561834014504,0.6118849301742568,1,0,4,1,0,0,1,1793.7064826007968,0.0
ECOM_60,APAC,Mobile,36,12,44,90,44,2,14,13,228.30553892079226,0.5619511256535142,2,0,2,1,0,0,0,3107.3444346392675,456.6110778415845
ECOM_61,APAC,Mobile,59,19,64,123,26,3,4,13,42.349830814550366,0.9926838342809241,0,0,4,0,0,0,0,479.85921502925083,127.0494924436511
ECOM_62,APAC,Desktop,64,14,44,113,25,2,8,16,70.47458956107853,0.7264280988707172,1,0,5,0,1,0,1,1274.674409294705,84.56950747329424
ECOM_63,EU,Desktop,33,22,50,108,7,4,7,13,36.50879105309442,0.5344553205518598,2,0,5,1,1,0,0,547.4451149058607,146.03516421237768
ECOM_64,APAC,Desktop,13,24,41,133,27,3,4,12,69.81354934815732,0.42153584928790044,0,0,4,0,1,0,1,955.2338877877113,125.66438882668318
ECOM_65,EU,Mobile,22,24,64,121,35,7,7,15,198.17686498611042,0.4089670378671745,1,1,4,1,0,0,0,2959.79176839942,1387.238054902773
ECOM_66,NA,Mobile,70,25,66,132,35,6,3,16,153.10769462220807,0.2935781847564357,0,0,4,0,1,0,1,2432.151446722463,551.187700639949
ECOM_67,EU,Desktop,22,18,51,109,34,2,5,18,318.1338004164948,0.9643237181019992,3,0,3,0,0,0,0,5896.354780110543,636.2676008329896
ECOM_68,NA,Mobile,70,27,46,105,25,2,10,12,214.47884358604756,0.22323354979262844,2,1,4,0,0,0,0,2528.581707366632,428.9576871720951
ECOM_69,APAC,Mobile,43,22,48,113,38,3,5,19,119.68658670913807,0.7843083419629766,1,0,4,1,1,0,1,2212.822575361743,215.43585607644852
ECOM_70,APAC,Mobile,47,18,52,97,14,2,7,12,31.19989943771923,0.8832049211760796,0,1,4,1,1,0,1,385.0702186103719,37.43987932526307
ECOM_71,EU,Desktop,42,20,52,130,2,5,8,13,104.81859679120485,0.5379987926214469,1,0,3,0,0,0,0,1250.1402207986139,524.0929839560242
ECOM_72,NA,Desktop,67,19,42,114,39,7,9,9,42.71519717892073,0.7061235093326178,2,0,5,0,0,0,1,321.9721705678513,179.40382815146708
ECOM_73,APAC,Mobile,67,13,50,99,1,2,10,12,13.682166117653638,0.3446005228543586,1,0,4,0,0,0,1,335.47610306956494,16.418599341184365
ECOM_74,APAC,Mobile,35,19,55,97,19,4,7,17,173.65684354113216,0.5656892653686895,0,0,5,0,0,0,0,2992.4669829004565,694.6273741645286
ECOM_75,NA,Mobile,8,15,58,98,39,8,8,16,113.88282914421829,0.5067678315643867,1,0,4,3,1,0,1,1910.610810741372,546.6375798922478
ECOM_76,NA,Desktop,66,15,47,122,41,5,1,11,76.98282948625823,0.2986307591992169,2,0,4,0,1,0,0,875.7024732149843,384.9141474312911
ECOM_77,NA,Desktop,44,11,67,128,37,1,8,22,183.82227911994718,0.8402121678594738,0,0,2,2,0,0,1,4076.584483641615,110.29336747196831
ECOM_78,APAC,Mobile,37,14,43,108,1,1,7,12,71.08941315057365,0.4798588097049956,0,0,5,1,0,0,1,874.9319120643322,42.65364789034419
ECOM_79,APAC,Mobile,42,14,54,84,4,3,5,19,23.762858067199733,0.24982776977633825,2,1,5,1,0,0,1,667.2392654759526,42.77314452095952
ECOM_80,EU,Mobile,41,12,51,104,27,2,6,11,26.630645912597025,0.5691442662404135,0,1,3,0,0,0,1,350.6982030568259,31.956775095116427
ECOM_81,EU,Mobile,43,16,59,115,20,3,7,14,52.97533994006927,0.3016007584542518,0,0,1,1,0,0,1,509.07932965969087,95.35561189212468
ECOM_82,APAC,Mobile,47,15,52,100,22,5,2,15,143.48794492603656,0.5787587690715095,0,0,4,1,1,0,0,2161.845410697324,717.4397246301828
ECOM_83,NA,Desktop,32,26,62,121,25,3,12,10,47.36980090783916,0.7029110451501038,1,0,4,0,1,0,1,469.01285851584345,85.2656416341105
ECOM_84,APAC,Mobile,1,13,63,136,6,4,3,21,66.48734070463959,0.9356050412817827,0,0,2,0,0,1,1,1419.0962037969705,159.56961769113502
ECOM_85,NA,Mobile,58,21,57,120,25,2,8,15,256.0219162990069,0.9855715542991859,1,0,4,0,1,0,0,3664.051702287338,512.0438325980138
ECOM_86,NA,Mobile,17,15,63,122,36,5,9,14,40.51850520101606,0.058346244445428685,0,0,2,1,0,0,0,516.3665528260539,202.59252600508032
ECOM_87,NA,Mobile,61,16,62,113,3,6,8,12,172.62409594830814,0.9928607812521182,3,1,1,1,0,1,0,2011.5153795540032,1035.7445756898487
ECOM_88,NA,Mobile,4,18,52,113,16,1,8,16,121.17589580918809,0.7356658450590892,1,0,4,1,0,0,1,1942.8190567428867,72.70553748551285
ECOM_89,APAC,Desktop,64,16,64,95,35,3,5,14,183.1256063665678,0.5113828474011364,2,0,4,1,0,0,0,2591.514522575571,549.3768190997034
ECOM_90,NA,Mobile,20,18,44,134,20,3,5,16,138.48041911599248,0.6506778890903758,0,0,4,0,1,0,0,2286.6569477573926,415.4412573479774
ECOM_91,EU,Desktop,56,26,61,111,18,6,5,17,135.85981070799056,0.6108292053247373,0,0,1,0,0,1,1,2316.728362187868,489.095318548766
ECOM_92,EU,Mobile,27,26,61,102,39,1,2,18,17.93042027500715,0.5229180027157633,1,0,1,1,0,0,1,314.0937418836907,10.75825216500429
ECOM_93,NA,Mobile,3,16,58,97,38,1,4,12,31.534788518824207,0.4829499701601676,1,0,5,0,1,0,1,286.86170668469356,18.920873111294522
ECOM_94,EU,Mobile,2,14,71,100,0,0,4,22,84.11216128979464,0.7999139401140118,0,1,4,2,1,0,1,1886.0436158481534,0.0
ECOM_95,APAC,Desktop,17,12,56,105,36,3,7,15,78.83804997411605,0.9945641513479837,1,0,5,2,0,0,1,1174.8121465247302,141.9084899534089
ECOM_96,NA,Desktop,13,17,53,91,6,3,6,20,38.97587782169841,0.1494699827240985,0,1,3,1,1,1,1,899.7001704245143,70.15658007905714
ECOM_97,APAC,Mobile,6,9,64,95,19,2,9,19,107.19913058660607,0.30722940067732796,1,0,3,1,0,0,0,2092.685840711475,214.39826117321215
ECOM_98,APAC,Desktop,29,18,52,98,4,5,5,12,60.37364019209379,0.23065731785007748,2,0,3,1,0,0,0,878.0487380146726,301.8682009604689
ECOM_99,NA,Desktop,60,18,69,96,36,2,13,15,27.146255052091217,0.7388012362182199,0,0,4,4,1,0,0,491.9335914461214,54.29251010418243
ECOM_100,NA,Mobile,13,22,63,110,27,3,4,13,47.49937760380508,0.2843998401676645,0,1,5,0,0,0,1,706.5201115117832,85.49887968684915
ECOM_101,APAC,Mobile,2,18,70,117,8,3,6,21,45.099839736295316,0.5401248814217235,1,0,4,3,1,0,1,977.2894707060295,81.17971152533157
ECOM_102,APAC,Mobile,38,21,55,130,43,3,6,10,74.59045685374862,0.4846035415225298,0,1,2,0,0,0,1,714.1545562648754,134.26282233674752
ECOM_103,EU,Mobile,31,21,51,93,41,1,11,8,31.699774323556305,0.8525314754338067,2,0,4,3,1,0,1,286.66872047585383,19.019864594133782
ECOM_104,APAC,Mobile,16,21,63,114,4,4,7,10,60.9612407459509,0.3907820447933268,2,0,4,1,1,0,0,493.43202425858277,243.8449629838036
ECOM_105,NA,Desktop,18,13,52,119,28,3,6,16,37.451831868510794,0.08249927202270502,0,0,5,1,0,0,1,568.3182289359271,67.41329736331943
ECOM_106,APAC,Mobile,39,17,58,102,16,7,4,9,38.13810186620658,0.3571783952752403,0,0,3,1,0,0,0,318.11139334054405,266.9667130634461
ECOM_107,APAC,Mobile,67,24,58,109,40,3,4,17,31.77785415709915,0.6242430614473023,2,0,3,1,1,0,1,598.8152305712223,57.20013748277847
ECOM_108,APAC,Mobile,65,13,46,129,24,6,6,20,98.93407573846702,0.8006068626157327,0,0,5,1,0,0,1,1993.4814741515704,356.16267265848126
ECOM_109,NA,Mobile,52,26,53,103,41,2,6,15,41.181652976224235,0.38182846373257984,1,0,5,1,0,0,1,698.6914350449108,49.41798357146908
ECOM_110,NA,Mobile,41,17,51,95,12,4,10,9,129.63960836323486,0.8151766171969644,2,1,5,3,0,0,0,1216.0890581570475,518.5584334529394
ECOM_111,APAC,Mobile,40,13,48,119,44,2,4,7,160.8755220567355,0.7865952070467715,1,1,4,2,1,1,0,1148.7531522963754,321.751044113471
ECOM_112,APAC,Mobile,47,21,45,113,18,2,6,21,367.8077633374884,0.9200893370036062,1,0,5,1,0,0,0,7650.119593363987,735.6155266749768
ECOM_113,APAC,Mobile,2,16,64,100,34,3,7,11,57.66671955807919,0.3517104668001385,1,0,1,1,1,0,1,710.1425937281815,103.80009520454253
ECOM_114,APAC,Mobile,29,27,75,103,30,1,14,11,48.51007922878945,0.3286706936070115,1,1,3,3,0,0,1,603.5329999135934,29.106047537273668
ECOM_115,EU,Mobile,23,20,56,116,31,2,5,12,113.01524807819257,0.6006592897495925,2,0,3,0,0,0,0,1353.5096285288205,226.03049615638514
ECOM_116,NA,Mobile,27,19,51,118,14,4,3,20,12.075738162871561,0.7967138587002099,1,1,5,0,0,0,0,243.02292776657637,48.302952651486244
ECOM_117,NA,Mobile,32,16,54,110,33,0,7,17,133.25424093608765,0.6737793851525343,0,0,1,2,1,0,1,2346.264436843802,0.0
ECOM_118,NA,Mobile,25,13,50,117,19,6,3,16,19.83956118978496,0.10957778916896588,1,1,4,0,0,0,0,392.08798183754226,119.03736713870975
ECOM_119,APAC,Desktop,3,18,54,105,30,3,8,6,38.921622350064865,0.988945015220474,1,1,4,1,0,1,1,195.32694165996463,70.05892023011675
ECOM_120,NA,Desktop,57,15,69,107,40,2,10,11,144.09661903906942,0.25163098837307285,0,0,2,0,0,0,0,1580.5319092368707,288.19323807813885
ECOM_121,EU,Mobile,41,16,56,106,34,5,8,16,75.83996909092139,0.9238790663152315,2,1,5,2,1,0,1,1219.4739996064586,227.51990727276416
ECOM_122,APAC,Mobile,44,20,48,116,14,5,6,17,78.56144469576469,0.7462151130683164,1,0,3,1,0,0,1,1238.0170668390576,235.68433408729408
ECOM_123,NA,Desktop,25,19,60,126,18,2,6,13,64.88524208186199,0.5827637880314432,1,1,5,1,0,0,1,863.2981718944301,77.86229049823439
ECOM_124,NA,Mobile,16,23,57,127,43,4,6,19,60.86456677358637,0.3899833813397764,2,0,3,1,0,1,0,1203.0398150110173,243.45826709434547
ECOM_125,NA,Desktop,67,18,65,101,18,5,3,16,43.346756110938415,0.15535630992734417,0,0,3,0,0,1,1,653.0342209455536,130.04026833281526
ECOM_126,EU,Mobile,44,25,60,121,17,3,9,9,45.931571096601104,0.7246466916144443,1,1,5,3,0,0,0,459.2127777199479,137.79471328980333
ECOM_127,APAC,Desktop,1,12,46,109,29,2,5,15,58.02513652577568,0.39237949996043775,0,1,4,0,1,0,0,909.4936760343826,116.05027305155136
ECOM_128,NA,Mobile,68,17,54,89,18,5,10,11,39.969335799939635,0.5194326785147997,0,0,2,2,0,0,1,328.2259004204656,119.9080073998189
ECOM_129,APAC,Desktop,38,19,60,102,8,2,9,17,130.2470538932913,0.04475140251776444,0,0,5,1,0,1,0,2221.3641381204015,260.4941077865826
ECOM_130,APAC,Desktop,10,15,46,113,6,0,3,16,69.4145081543481,0.19836634119301433,2,0,5,1,1,0,1,1154.3519937417107,0.0
ECOM_131,APAC,Mobile,64,19,53,103,26,4,4,12,86.57598822981824,0.8934821487342688,0,0,4,0,0,0,1,1051.6551341898883,207.78237175156377
ECOM_132,APAC,Mobile,31,13,64,90,38,2,10,11,25.621002576158293,0.17756883684726765,2,1,4,2,1,0,0,276.8926560133526,51.24200515231659
ECOM_133,NA,Mobile,36,22,60,100,41,3,4,24,9.191789913065616,0.016533071331270466,1,0,5,1,0,0,1,167.38372689760482,16.545221843518107
ECOM_134,APAC,Mobile,14,29,66,114,30,1,7,16,177.46164620937523,0.11153084949496528,2,0,1,0,0,0,0,2803.451059227982,177.46164620937523
ECOM_135,APAC,Desktop,70,17,45,118,44,3,8,13,250.3191840532573,0.0010094182364764892,1,0,3,0,0,0,1,3261.030344444392,450.57453129586315
ECOM_136,NA,Mobile,19,13,53,98,12,2,9,12,124.43092512503235,0.5500320776981248,0,1,5,1,1,0,1,1355.5918854811707,149.31711015003881
ECOM_137,EU,Mobile,56,22,69,107,34,2,8,16,126.94001091679448,0.10145853136088478,0,0,1,1,0,0,1,1900.8349272780974,152.32801310015336
ECOM_138,EU,Desktop,53,17,57,108,2,5,6,14,62.67641435908319,0.027848058285614985,0,0,3,0,1,1,1,876.1495477995169,188.02924307724956
ECOM_139,APAC,Mobile,43,15,53,98,14,3,8,10,180.10710723923586,0.9531741765911047,2,0,5,2,1,0,0,1734.0105198019457,540.3213217177076
ECOM_140,NA,Desktop,53,19,50,113,23,6,3,14,76.10628999796258,0.5382157676363927,1,1,4,0,0,0,1,974.117095563302,273.98264399266526
ECOM_141,EU,Mobile,62,11,55,95,41,3,4,9,212.59517043856616,0.048786454759308207,2,0,5,2,1,0,1,1887.126995953366,382.6713067894191
ECOM_142,EU,Desktop,42,22,75,117,7,5,8,11,122.93353291026854,0.6789776603187746,6,0,3,0,1,0,1,1362.9437616106,368.8005987308056
ECOM_143,APAC,Mobile,17,22,57,121,41,2,8,15,38.68013622055241,0.12072322596241125,0,0,4,2,1,1,1,571.0175398513611,46.416163464662894
ECOM_144,EU,Desktop,65,18,66,90,39,3,9,12,117.60243492458027,0.7281563001140057,0,0,4,1,0,0,1,1456.3270798650183,211.68438286424447
ECOM_145,APAC,Desktop,41,14,70,109,15,2,5,13,42.005346837165284,0.9109602754226865,0,1,4,2,0,0,0,534.5444160103901,84.01069367433057
ECOM_146,APAC,Desktop,61,17,80,108,38,3,11,16,144.63750615041346,0.0680875873449508,2,1,1,0,1,0,1,2284.0870722072045,260.3475110707442
ECOM_147,NA,Mobile,57,17,46,115,14,4,5,20,32.65826587905124,0.5700273327263092,0,0,3,1,1,0,0,748.8397582787836,130.63306351620497
ECOM_148,NA,Desktop,69,12,45,111,0,5,7,17,174.23325270849546,0.3043121257057838,1,0,4,3,0,1,1,3159.1029724657606,522.6997581254864
ECOM_149,EU,Mobile,4,19,58,93,29,1,5,22,178.87661263794166,0.36579394926564035,0,0,4,1,0,0,0,4095.2807033051827,178.87661263794166
ECOM_150,APAC,Desktop,33,10,52,110,42,1,17,12,91.79587955104049,0.725506124453498,1,0,4,1,0,0,1,1055.8212294474858,55.07752773062429
ECOM_151,APAC,Desktop,32,29,56,120,26,0,5,18,62.389752520718396,0.21536082135154577,4,0,4,0,1,0,0,1172.2065499724292,0.0
ECOM_152,NA,Desktop,46,19,66,122,9,1,6,13,23.465465342897684,0.13330348995660335,0,0,4,0,0,1,0,257.5140590857345,23.465465342897684
ECOM_153,NA,Desktop,69,19,56,102,35,2,0,19,12.137147387721383,0.9636759862621974,1,0,4,2,0,0,1,252.7072374441938,14.564576865265659
ECOM_154,EU,Mobile,25,14,57,90,33,6,11,16,8.785318619313426,0.9097183012425548,0,1,5,1,1,0,0,109.2043510484944,52.711911715880554
ECOM_155,EU,Mobile,26,18,65,114,1,3,6,18,152.02701526664274,0.4481903708053293,3,0,1,1,0,1,1,2802.4922017042672,273.64862747995693
ECOM_156,NA,Mobile,46,15,58,99,7,4,12,17,86.29574778969535,0.3996068812236696,1,0,4,1,0,0,0,1535.6159515622992,345.1829911587814
ECOM_157,EU,Desktop,23,12,52,114,1,4,4,11,179.8968534656925,0.4438008185431721,4,0,5,0,1,0,0,1912.8541332114476,719.58741386277
ECOM_158,NA,Desktop,29,24,61,106,22,4,12,12,86.58482555008372,0.23664728275985136,0,0,4,4,0,0,0,1202.3138029538964,346.3393022003349
ECOM_159,APAC,Mobile,14,19,47,93,35,1,7,13,50.18160252611074,0.029667716693932422,0,0,2,2,1,0,1,706.7633107937697,30.10896151566644
ECOM_160,EU,Mobile,53,19,50,107,26,1,7,19,97.53301863202171,0.6086556216367853,1,0,2,0,0,1,1,1731.501037195363,58.51981117921302
ECOM_161,APAC,Mobile,2,19,51,104,13,1,7,16,76.28547653229253,0.3903564037076134,1,0,2,0,0,1,1,1268.642983466302,45.77128591937552
ECOM_162,EU,Desktop,33,19,49,96,8,2,10,13,38.665651210261444,0.6683309451878067,0,0,5,0,1,1,0,485.668460881104,77.33130242052289
ECOM_163,NA,Mobile,31,20,62,113,17,3,9,16,32.987241332078256,0.24391312964362943,0,0,2,0,1,0,1,577.8580113754975,59.37703439774086
ECOM_164,NA,Desktop,58,22,60,104,9,3,5,7,55.050237608703654,0.5802970172699935,1,0,5,1,0,0,0,473.9570914872507,165.15071282611098
ECOM_165,NA,Desktop,43,21,46,103,6,1,9,14,91.10579824810534,0.11218380096400304,1,0,2,0,0,0,0,1261.4938309484878,91.10579824810534
ECOM_166,APAC,Mobile,20,17,72,112,37,1,5,17,114.04714370078842,0.7337242120687912,1,0,3,2,0,0,0,1804.1477800874964,114.04714370078842
ECOM_167,EU,Mobile,23,19,56,98,13,5,6,21,152.055476998295,0.21785641105581366,0,0,4,3,0,0,0,3261.7145205720562,760.2773849914751
ECOM_168,APAC,Mobile,22,10,48,105,12,5,1,7,108.3814636306914,0.03601951804373049,0,1,5,1,0,0,0,710.5608225843077,541.907318153457
ECOM_169,EU,Mobile,18,19,49,97,34,1,9,13,50.234137048459075,0.5963600059307854,1,0,4,2,1,0,0,657.1094423009761,50.234137048459075
ECOM_170,EU,Desktop,22,19,62,129,31,1,12,14,78.45603954957555,0.7758586187110768,1,1,1,1,1,0,1,997.8486219463258,47.07362372974533
ECOM_171,EU,Desktop,22,24,53,103,20,1,10,18,130.83501863033558,0.9025418105864842,0,0,3,1,1,0,0,2310.041514928383,130.83501863033558
ECOM_172,EU,Desktop,24,16,66,110,10,1,4,13,70.69455921488989,0.29277101362239133,1,1,4,0,0,0,1,1038.922622445022,42.416735528933934
ECOM_173,NA,Mobile,48,18,50,110,32,8,6,15,254.7409737003882,0.3854348713354844,0,0,4,0,0,0,1,3691.776732965686,1222.7566737618633
